time,disp_y,force_y,strain_xx,strain_yy,stress_xx,stress_yy
0,0,0,0,0,0,0
0.005,0.008,70.4704298964,-0.00010471037173094,0.00024432388775116,-3.7915624996676e-05,56.382419385329
0.01,0.016,140.92598059791,-0.00020942153105962,0.00048864898856338,-0.00015151205875799,112.7650862732
0.015,0.024,211.36665166025,-0.00031413347613135,0.0007329752999713,-0.00034056368594673,169.14800019136
0.02,0.032,280.19761996843,-0.00042028489506224,0.00097597479836916,-0.00069538083194334,224.2553613845
0.025,0.04,306.80409481573,-0.0005851911126137,0.001203814412897,-0.001355655628653,245.59486451636
0.03,0.048,310.55996178663,-0.00078981254814235,0.0014263597814751,-0.0018649995596541,248.65849981718
0.035,0.056,312.17946208303,-0.0010017473484679,0.0016487465214579,-0.0024715153940242,250.0145164834
0.04,0.064,313.04563642774,-0.0012173202105879,0.001871180624966,-0.0031903855090907,250.76859598459
0.045,0.072,313.62347278942,-0.0014348698771658,0.0020936369647033,-0.0040457614403421,251.29243132509
0.05,0.08,314.0563062392,-0.0016536418926041,0.0023161846163522,-0.0050238091349814,251.70052557996
0.055,0.088,314.4082141887,-0.0018732170103791,0.0025388185231036,-0.006116240938927,252.04405489543
0.06,0.096,314.71189482422,-0.0020933381560266,0.002761508220139,-0.0073244114938569,252.34913066234
0.065,0.104,314.98246552089,-0.0023138550548129,0.0029842471868071,-0.0086427384385793,252.62781489776
0.07,0.112,315.22196901982,-0.0025347048626474,0.0032070853092601,-0.010051770102872,252.88171551995
0.075,0.12,315.43622795538,-0.0027558298299753,0.0034300198690125,-0.01154368272616,253.11547837854
0.08,0.128,315.63310858876,-0.0029771708202703,0.0036530109875045,-0.013128336441469,253.33538891513
0.085,0.136,315.81317043047,-0.0031987108898766,0.0038760816012944,-0.014794331562603,253.54188589577
0.09,0.144,315.98334876158,-0.0034203942286084,0.0040991736206918,-0.016557797589076,253.74051598454
0.095,0.152,316.142419642,-0.0036422191344245,0.0043223168944646,-0.018403842160133,253.93029393828
0.1,0.16,316.29151045478,-0.0038641744296042,0.0045455131522861,-0.020331468346203,254.11211740458
0.105,0.168,316.42940582369,-0.0040862667161968,0.0047687933997989,-0.022325054165808,254.28501184352
0.11,0.176,316.55574533207,-0.0043085035140157,0.0049921770104305,-0.024370858521694,254.44868644712
0.115,0.184,316.67400089147,-0.0045308567666448,0.0052156240736599,-0.02648299361963,254.60591737303
0.12,0.192,316.78602662263,-0.0047533050224573,0.0054391133255012,-0.028665850993678,254.75818835706
0.125,0.2,316.88908974377,-0.0049758784136171,0.0056627000260106,-0.030894413608259,254.9033115891
0.13,0.208,316.98727972608,-0.0051985340093137,0.0058863210525417,-0.03319434253552,255.04455686224
0.135,0.216,317.08105491398,-0.0054212650033666,0.0061099733666904,-0.035564806203594,255.18228939017
0.14,0.224,317.1707062248,-0.0056440666615005,0.0063336561729893,-0.038005394423711,255.31674058001
0.145,0.232,317.25643073922,-0.0058669357917879,0.0065573701203156,-0.04051467617123,255.44806688795
0.15,0.24,317.33551257851,-0.0060899103848845,0.006781177080754,-0.043062596983633,255.57409587507
0.155,0.248,317.41087508502,-0.0063129514378299,0.0070050206649945,-0.045673912504231,255.69716500508
0.16,0.256,317.48168450005,-0.0065360730665183,0.0072289262750922,-0.048337668163722,255.81660684889
0.165,0.264,317.54740761365,-0.006759287864971,0.0074529111485598,-0.05104346027045,255.93199411949
0.17,0.272,317.60833320674,-0.0069825935211526,0.0076769721781038,-0.053787015204311,256.04355856923
0.175,0.28,317.66643305701,-0.0072059580321185,0.0079010657110934,-0.056587063737104,256.15287648344
0.18,0.288,317.72131718705,-0.0074293885704484,0.0081252050495449,-0.059437669677285,256.25963536067
0.185,0.296,317.77307962836,-0.0076528848109528,0.0083493917757397,-0.062338294081387,256.36390922711
0.19,0.304,317.82083977938,-0.0078764637958435,0.0085736517214481,-0.065272734120526,256.46499577638
0.195,0.312,317.86659770641,-0.0081000891562987,0.008797934083729,-0.068265713950803,256.56449142399
0.2,0.32,317.90984603636,-0.0083237696415767,0.0090222539533028,-0.071305504898021,256.66199267845

