time,dt,strain,stress
0,0,0,0
0.1,0.1,-0.020191373474991,-22188.32249999
0.2,0.1,-0.040798603579037,-44833.630306634
0.3,0.1,-0.06183916955046,-67955.131374132
0.4,0.1,-0.083331675562803,-91573.269849234
0.5,0.1,-0.10529594930156,-115709.83439732
0.6,0.1,-0.12775315157173,-140388.07865025
0.7,0.1,-0.15072589844995,-165632.8554395
0.8,0.1,-0.17423839774294,-191470.76675048
0.9,0.1,-0.19831660180903,-217930.33165827
1,0.1,-0.22298837915278,-245042.17489316
1.1,0.1,-0.24828370762668,-272839.2391502
1.2,0.1,-0.27423489258536,-301357.02481908
1.3,0.1,-0.30087681395711,-330633.86149133
1.4,0.1,-0.3282472069517,-360711.21643044
1.5,0.1,-0.35638698204541,-391634.04620375
1.6,0.1,-0.38534059101801,-423451.19892089
1.7,0.1,-0.41515644721753,-456215.87606322
1.8,0.1,-0.44588740997083,-489986.16480311
1.9,0.1,-0.47759134523597,-524825.65410546
2,0.1,-0.51033177733474,-560804.15091729
2.1,0.1,-0.54417865007697,-597998.5165681
2.2,0.1,-0.57920922002179,-636493.64837559
2.3,0.1,-0.61550911032005,-676383.63771434
2.4,0.1,-0.65317356096954,-717773.14392257
2.5,0.1,-0.69230892096954,-760779.03403246
2.6,0.1,-0.73303444059724,-805532.35230466
2.7,0.1,-0.77548443898918,-852180.70218591
2.8,0.1,-0.81981094503385,-900891.14838885
2.9,0.1,-0.86618694063239,-951853.78091472
3,0.1,-0.91481037813239,-1005286.1298158
3.1,0.1,-0.96590920334092,-1061438.68499
3.2,0.1,-1.0197476997591,-1120601.8678672
3.3,0.1,-1.0766345904812,-1183114.9345948
3.4,0.1,-1.136933510159,-1249377.4836912
3.5,0.1,-1.2010767200355,-1319864.5275116
3.6,0.1,-1.2695833318639,-1395146.5185318
3.7,0.1,-1.3430839095748,-1475916.3841481
3.8,0.1,-1.422354260655,-1563026.6600605
3.9,0.1,-1.5083627300219,-1657541.4615625
4,0.099999999999998,-1.6023377300219,-1760810.6923318

