time,dt,strain,stress
0,0,0,0
0.1,0.1,-0.018343656160765,-20157.863912923
0.2,0.1,-0.036981556866842,-40639.073480037
0.3,0.1,-0.055924555912661,-61455.555947969
0.4,0.1,-0.075184154203817,-82619.949674549
0.5,0.1,-0.094772553983163,-104145.66371778
0.6,0.1,-0.11470271898477,-126046.94393919
0.7,0.1,-0.13498844132306,-148338.94650886
0.8,0.1,-0.15564441606194,-171037.81984814
0.9,0.1,-0.1766863245528,-194160.79621168
1,0.1,-0.19813092784431,-217726.29433484
1.1,0.1,-0.21999617167935,-241754.03481285
1.2,0.1,-0.24230130485948,-266265.1701751
1.3,0.1,-0.26506701313587,-291282.43201719
1.4,0.1,-0.28831557116863,-316830.29798791
1.5,0.1,-0.31207101560221,-342935.18198078
1.6,0.1,-0.33635934293971,-369625.65158171
1.7,0.1,-0.36120873669613,-396932.67768859
1.8,0.1,-0.38664982930689,-424889.92231191
1.9,0.1,-0.41271600534602,-453534.07180871
2,0.1,-0.43944375459413,-482905.22482861
2.1,0.1,-0.46687308484697,-513047.34598589
2.2,0.1,-0.49504800770113,-544008.79966811
2.3,0.1,-0.52401711331592,-575842.9816677
2.4,0.1,-0.55383425522516,-608609.07167136
2.5,0.1,-0.58455937131931,-642372.93551858
2.6,0.1,-0.61625947659418,-677208.21603621
2.7,0.1,-0.6490098721209,-713197.66167341
2.8,0.1,-0.6828956321439,-750434.76059589
2.9,0.1,-0.71801344992956,-789025.76915552
3,0.1,-0.75447395507278,-829092.25832736
3.1,0.1,-0.79240465706448,-870774.34842817
3.2,0.1,-0.83195373493054,-914234.87355058
3.3,0.1,-0.87329498974691,-959664.82391123
3.4,0.1,-0.91663442724672,-1007290.5793923
3.5,0.1,-0.96221917674411,-1057383.7107142
3.6,0.1,-1.0103498451018,-1110274.5550566
3.7,0.1,-1.0613980737129,-1166371.5095745
3.8,0.1,-1.1158322506731,-1226189.2864627
3.9,0.1,-1.1742565468793,-1290391.8097573
4,0.099999999999998,-1.2374728243566,-1359860.2465455

